,subj
0,sub-CC00100XX01
1,sub-CC00448XX20
2,sub-CC00380XX10
3,sub-CC00195XX15
4,sub-CC00138XX15
5,sub-CC00119XX12
6,sub-CC00203XX05
7,sub-CC00232XX10
8,sub-CC00270XX07
9,sub-CC00421AN09
10,sub-CC00465XX12
11,sub-CC00113XX06
12,sub-CC00430XX10
13,sub-CC00216BN10
14,sub-CC00497XX20
15,sub-CC00428XX16
16,sub-CC00370XX08
17,sub-CC00226XX12
18,sub-CC00457XX12
19,sub-CC00846XX22
20,sub-CC00546XX19
21,sub-CC00595XX19
22,sub-CC00170XX06
23,sub-CC00189XX17
24,sub-CC00371XX09
25,sub-CC00306XX09
26,sub-CC00789XX23
27,sub-CC00102XX03
28,sub-CC00540XX13
29,sub-CC00304XX07
30,sub-CC00103XX04
31,sub-CC00336XX15
32,sub-CC00740XX15
33,sub-CC00341XX12
34,sub-CC00586XX18
35,sub-CC00251XX04
36,sub-CC00852XX11
37,sub-CC00072XX07
38,sub-CC00483XX14
39,sub-CC00416XX12
40,sub-CC00422XX10
41,sub-CC00126XX11
42,sub-CC00332XX11
43,sub-CC00065XX08
44,sub-CC00424XX12
45,sub-CC00299XX20
47,sub-CC00343XX14
48,sub-CC00507XX12
49,sub-CC00209XX11
50,sub-CC00476XX15
51,sub-CC00069XX12
52,sub-CC00534XX15
53,sub-CC00231XX09
54,sub-CC00300XX03
55,sub-CC00685XX18
56,sub-CC00180XX08
57,sub-CC00338BN17
58,sub-CC00188XX16
59,sub-CC00347XX18
60,sub-CC00335XX14
61,sub-CC00216AN10
62,sub-CC00298XX19
63,sub-CC00480XX11
64,sub-CC00486XX17
65,sub-CC00187XX15
66,sub-CC00467XX14
67,sub-CC00705XX12
68,sub-CC00196XX16
69,sub-CC00446XX18
70,sub-CC00582XX14
71,sub-CC00433XX13
72,sub-CC00593XX17
73,sub-CC00244XX14
75,sub-CC00176XX12
76,sub-CC00238AN16
77,sub-CC00357XX11
78,sub-CC00482XX13
79,sub-CC00744XX19
80,sub-CC00233XX11
81,sub-CC00589XX21
82,sub-CC00498XX21
83,sub-CC00354XX08
84,sub-CC00720XX11
85,sub-CC00185XX13
86,sub-CC00871XX14
87,sub-CC00150AN02
88,sub-CC00731XX14
89,sub-CC00649XX23
90,sub-CC00580XX12
92,sub-CC00799XX25
93,sub-CC00417XX13
